"from","from_id","message","picture","link","name","description","type","created_time","shares","likes","loves","wows","hahas","sads","angrys","post_id"
"nacion.com","_115872105050","#MásVistoEstaSemana Con su rendimiento del 73,8%, el Macho Ramírez supera a estrategas como Guima, Badú Vieira y Jorge Luis Pinto.","https://external.xx.fbcdn.net/safe_image.php?d=AQCSocwbmqzchQ4Z&w=130&h=130&url=https%3A%2F%2Fechobox-media.s3.amazonaws.com%2Fsocial_media_images%2F674%2F674-1504737157-151m24g8s12be1r2aahivlvm9nbmgqqt.jpg&cfs=1&sx=283&sy=0&sw=555&sh=555&_nc_hash=AQC3nxtatUxVbd88","http://www.nacion.com/deportes/seleccion-nacional/Oscar-Ramirez-tecnico-rendimiento-eliminatoria_0_1656634346.html?utm_term=Autofeed&utm_campaign=Echobox&utm_medium=Social&utm_source=Facebook#link_time=1504764298","Óscar Ramírez es el técnico tico con mejor rendimiento en eliminatorias","Lea más sobre este tema en La Nación","link","2017-09-07T19:55:11+0000","3","10","2","0","0","0","0","115872105050_10159359642745051"
"nacion.com","_115872105050","","https://external.xx.fbcdn.net/safe_image.php?d=AQAgbKhO-_0l3ufZ&w=130&h=130&url=https%3A%2F%2Fechobox-media.s3.amazonaws.com%2Fsocial_media_images%2F674%2F674-1504813287-cgahfdob8ac55roeur6tprrdd5pr5p86.png&cfs=1&sx=143&sy=0&sw=628&sh=628&_nc_hash=AQDm39n062c1XCf2","http://www.nacion.com/ocio/musica/Fonseca-Papa_Francisco-Colombia_0_1656834330.html?utm_term=Autofeed&utm_campaign=Echobox&utm_medium=Social&utm_source=Facebook#link_time=1504810693","Fonseca le canta al papa Francisco en su visita a Colombia","Lea más sobre este tema en La Nación","link","2017-09-07T19:41:42+0000","1","19","0","0","0","0","0","115872105050_10159359535315051"
"nacion.com","_115872105050","#MásVistoEstaSemana Pipo regresa a Italia con el propósito de trabajar duro en el Bolonia y recuperar un campo en la defensa de la Sele.","https://external.xx.fbcdn.net/safe_image.php?d=AQBZSb-GOtvnrWay&w=130&h=130&url=https%3A%2F%2Fechobox-media.s3.amazonaws.com%2Fsocial_media_images%2F674%2F674-1504742139-3ac12u76fcvfud48sdcc1n6i3rs6b3a6.png&cfs=1&sx=502&sy=0&sw=628&sh=628&_nc_hash=AQCUcwckaBw8O602","http://www.nacion.com/deportes/seleccion-nacional/Giancarlo_Gonzalez-Seleccion_Nacional-Bolonia_0_1656634390.html?utm_term=Autofeed&utm_campaign=Echobox&utm_medium=Social&utm_source=Facebook#link_time=1504764298","Giancarlo González: 'A mí no me gusta irme sin jugar'","Lea más sobre este tema en La Nación","link","2017-09-07T19:40:53+0000","1","15","0","0","0","0","0","115872105050_10159359530860051"
"nacion.com","_115872105050","","https://external.xx.fbcdn.net/safe_image.php?d=AQDhs_gSSGLODEA6&w=130&h=130&url=https%3A%2F%2Fechobox-media.s3.amazonaws.com%2Fsocial_media_images%2F674%2F674-1504811648-so07pulf9e7msvq159ue4d31v77snd8u.png&cfs=1&_nc_hash=AQDKslDqaVPBqMsf","http://www.nacion.com/sucesos/crimenes-asaltos/detenidos-asesinar-robarle-hombre-Limon_0_1656834328.html?utm_term=Autofeed&utm_campaign=Echobox&utm_medium=Social&utm_source=Facebook#link_time=1504810694","Dos detenidos por asesinar y robarle cadena de oro a hombre en Limón","Lea más sobre este tema en La Nación","link","2017-09-07T19:23:05+0000","","6","0","0","0","0","0","115872105050_10159359435735051"
"nacion.com","_115872105050","","https://external.xx.fbcdn.net/safe_image.php?d=AQDCd1stn_yqIgTg&w=130&h=130&url=https%3A%2F%2Fechobox-media.s3.amazonaws.com%2Fsocial_media_images%2F674%2F674-1504811330-ql24bd12ddcon3i4slb0cntq59lm89iu.png&cfs=1&sx=513&sy=0&sw=628&sh=628&_nc_hash=AQBtYwNpA0lJvLIF","http://www.nacion.com/deportes/futbol-costa-rica/Carlos-Watson-Jerry-Bengtson-perseguido_0_1656834329.html?utm_term=Autofeed&utm_campaign=Echobox&utm_medium=Social&utm_source=Facebook#link_time=1504810031","Carlos Watson sobre Jerry Bengtson: 'Me parece que ha sido perseguido'","Lea más sobre este tema en La Nación","link","2017-09-07T19:09:12+0000","5","36","0","0","25","0","1","115872105050_10159359379905051"
"nacion.com","_115872105050","Más de 200.000 personas ya fueron exhortadas a evacuar sus lugares de residencia en Florida.","https://external.xx.fbcdn.net/safe_image.php?d=AQC_o1U4YfXWcK_j&w=130&h=130&url=https%3A%2F%2Fechobox-media.s3.amazonaws.com%2Fsocial_media_images%2F674%2F674-1504810033-5hnviq344d61t599pi7u31bu8c2kapsl.jpg&cfs=1&_nc_hash=AQCMNaCZgFH5sP_w","http://www.nacion.com/mundo/latinoamerica/Evacuaciones-costeras-Unidos-Cuba-Irma_0_1656834327.html?utm_term=Autofeed&utm_campaign=Echobox&utm_medium=Social&utm_source=Facebook#link_time=1504810034","Evacuaciones en zonas costeras de Estados Unidos ante llegada de Irma","Lea más sobre este tema en La Nación","link","2017-09-07T19:08:14+0000","","11","0","0","0","2","0","115872105050_10159359375075051"
"nacion.com","_115872105050","#MásVistoEstaSemana Mauricio Hoffman y Natalia Rodríguez no formarán parte del programa, que produce para Costa Rica Teletica Formatos.","https://external.xx.fbcdn.net/safe_image.php?d=AQBg6MiiKHiBbLU9&w=130&h=130&url=https%3A%2F%2Fechobox-media.s3.amazonaws.com%2Fsocial_media_images%2F674%2F674-1504744569-q5u7isd3tt30fise8edu2tib7b04obq4.jpg&cfs=1&sx=160&sy=0&sw=555&sh=555&_nc_hash=AQACkkV0qCQ335u2","http://www.nacion.com/ocio/tv-radio/Bismarck-Mendez-presentadores-Dancing-Stars_0_1656634399.html?utm_term=Autofeed&utm_campaign=Echobox&utm_medium=Social&utm_source=Facebook#link_time=1504764302","Bismarck Méndez es la novedad en elenco de presentadores de 'Dancing with the Stars'","Lea más sobre este tema en La Nación","link","2017-09-07T18:54:44+0000","1","28","3","0","0","2","0","115872105050_10159359321195051"
"nacion.com","_115872105050","","https://external.xx.fbcdn.net/safe_image.php?d=AQB8B4RllZI-PUvD&w=130&h=130&url=https%3A%2F%2Fechobox-media.s3.amazonaws.com%2Fsocial_media_images%2F674%2F674-1504810288-vff39b2nhitlaq763d0tosg2a9fehugm.png&cfs=1&_nc_hash=AQDNH-Ztw4U-_DxZ","http://www.nacion.com/nacional/Defensoria-Habitantes-denuncia-oligopolio-telefonia_0_1656834319.html?utm_campaign=Echobox&utm_medium=Social&utm_source=Facebook#link_time=1504810395","Defensoría se opone a que tarifas de servicio de telefonía e Internet móvil queden sin ...","Lea más sobre este tema en La Nación","link","2017-09-07T18:53:16+0000","17","93","2","1","0","0","0","115872105050_10159359314070051"
"nacion.com","_115872105050","Devastación en el Caribe por el paso del huracán Irma http://ow.ly/3zYT30eZs0S

Fotos agencia: Paso del huracán Irma por Puerto Rico.","https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/21430478_10159359270850051_4128203126277883841_n.jpg?oh=38176a25f65f81e3d0f0f23438beef3a&oe=5A20F0BF","https://www.facebook.com/lanacioncr/photos/a.225303940050.294967.115872105050/10159359270850051/?type=3","Photos from nacion.com's post","","photo","2017-09-07T18:48:38+0000","57","148","0","58","1","354","2","115872105050_10159359273245051"
"nacion.com","_115872105050","#MásVistoEstaSemana La Fiscalía comprobó que la mujer asesinó al bebé, al intentar ocultarlo de su esposo, pues el pequeño era hijo de otro hombre.","https://external.xx.fbcdn.net/safe_image.php?d=AQAH3Qe8cy9oCGmy&w=130&h=130&url=https%3A%2F%2Fechobox-media.s3.amazonaws.com%2Fsocial_media_images%2F674%2F674-1504737447-9chlbdqts2kjusbhdjul4bvqptljmupv.jpg&cfs=1&_nc_hash=AQAyE6DWqXiD9hK6","http://www.nacion.com/sucesos/crimenes-asaltos/Juzgado-carcel-recien-nacido-Turrialba_0_1656634373.html?utm_term=Autofeed&utm_campaign=Echobox&utm_medium=Social&utm_source=Facebook#link_time=1504764293","Juzgado dictó 18 años de cárcel contra madre que mató a recién nacido en Turrialba","Lea más sobre este tema en La Nación","link","2017-09-07T18:42:00+0000","3","15","0","0","0","4","1","115872105050_10159359226825051"
